AccidentType,Date,Time,Reason
perturbation,2019/10/8,8:07:42,Techique reason
perturbation,2019/10/8,5:30:32,Track construction
perturbation,2019/10/4,6:10:42,Technique reason
perturbation,2019/10/3,10:36:35,Technique reason
perturbation,2019/10/1,17:28:46,Passenger reason
perturbation,2019/10/1,5:30:32,Track construction
perturbation,2019/9/29,16:22:33,Technique reason
perturbation,2019/9/27,9:31:36,Passenger reason
perturbation,2019/9/26,8:40:42,Passenger reason
perturbation,2019/9/26,8:33:49,Passenger reason
perturbation,2019/9/24,12:15:47,Social movement
perturbation,2019/9/23,9:06:37,there is no reason
perturbation,2019/9/21,7:15:34,Techique reason
perturbation,2019/9/20,9:35:36,Passenger reason
perturbation,2019/9/20,8:48:45,Passenger reason
perturbation,2019/9/19,17:20:45,Passenger reason
perturbation,2019/9/19,17:06:34,Passenger reason
perturbation,2019/9/19,14:23:37,Technique reason
perturbation,2019/9/19,9:37:32,Techique reason
perturbation,2019/9/19,8:14:39,Techique reason
perturbation,2019/9/19,7:51:40,Techique reason
perturbation,2019/9/17,15:33:34,Passenger reason
perturbation,2019/9/16,19:02:37,Passenger reason
perturbation,2019/9/16,9:04:39,Passenger reason
perturbation,2019/9/13,21:22:02,Social movement
perturbation,2019/9/11,7:12:44,Techique reason
perturbation,2019/9/10,15:07:24,Passenger reason
perturbation,2019/9/9,12:28:36,Passenger reason
perturbation,2019/9/9,12:28:35,Security reason
perturbation,2019/9/9,11:39:31,Passenger reason
perturbation,2019/9/8,6:49:34,Passenger reason
perturbation,2019/9/6,7:27:34,Techique reason
perturbation,2019/9/3,6:52:35,Technique reason
perturbation,2019/9/3,6:46:37,Technique reason
perturbation,2019/9/2,18:30:44,Techique reason
perturbation,2019/9/2,16:42:35,Techique reason
perturbation,2019/9/2,8:30:49,Passenger reason
perturbation,2019/8/30,10:18:37,Passenger reason
perturbation,2019/8/30,8:49:52,Operation problem
perturbation,2019/8/30,8:41:45,Operation problem
perturbation,2019/8/30,8:34:41,Operation problem
perturbation,2019/8/30,8:27:40,Operation problem
perturbation,2019/8/29,17:41:37,Passenger reason
perturbation,2019/8/29,9:39:29,Technique reason
perturbation,2019/8/28,19:41:32,Techique reason
perturbation,2019/8/27,9:39:31,Passenger reason
perturbation,2019/8/27,7:46:42,Techique reason
perturbation,2019/8/26,18:20:36,Security reason
perturbation,2019/8/26,18:16:40,Security reason
perturbation,2019/8/26,9:11:36,Passenger reason
perturbation,2019/8/26,8:42:40,Passenger reason
perturbation,2019/8/23,18:27:44,Techique reason
perturbation,2019/8/23,18:18:01,Techique reason
perturbation,2019/8/22,18:37:46,Techique reason
perturbation,2019/8/22,18:17:41,Techique reason
perturbation,2019/8/20,5:47:30,there is no reason
perturbation,2019/8/19,19:40:38,Passenger reason
perturbation,2019/8/19,6:10:39,Technique reason
perturbation,2019/8/19,6:00:35,Technique reason
